Berufs-schlüssel,Bezeichnung
,
01,Landwirtschaftliche Berufe
02,Tierwirtschaftliche Berufe
03,"Verwaltungs-, Beratungs- und technische Fachkräfte in der Land- und Tierwirtschaft"
05,Gartenbauberufe
06,"Forst-, Jagdberufe"
07,Bergleute
08,"Mineralgewinner, -aufbereiter"
10,Steinbearbeiter/Steinbearbeiterinnen
11,Baustoffhersteller/Baustoffherstellerinnen
12,Keramiker/Keramikerinnen
13,Berufe in der Glasherstellung und -bearbeitung
14,Chemieberufe
15,Kunststoffberufe
16,"Papierherstellungs-, Papierverarbeitungsberufe"
17,Druck- und Druckweiterverarbeitungsberufe
18,"Berufe in der Holzbearbeitung, Holz- und Flechtwarenherstellung"
19,Berufe in der Hütten- und Halbzeugindustrie
20,Gießereiberufe
21,Berufe in der spanlosen Metallverformung
22,Berufe in der spanenden Metallverformung
23,Berufe in der Metalloberflächenveredlung und Metallvergütung
24,Metallverbindungsberufe
25,Metall- und Anlagenbauberufe
26,Blechkonstruktions- und Installationsberufe
27,Maschinenbau- und -wartungsberufe
28,"Fahr-, Flugzeugbau- und -wartungsberufe"
29,Werkzeug- und Formenbauberufe
30,Feinwerktechnische und verwandte Berufe
31,Elektroberufe
32,"Montierer/Montiererinnen und Metallberufe, a.n.g."
33,Spinnberufe
34,Berufe in der Textilherstellung
35,Berufe in der Textilverarbeitung
36,Textilveredler/Textilveredlerinnen
37,"Berufe in der Lederherstellung, Leder- und Fellverarbeitung"
39,"Berufe in der Back-, Konditor-, Süßwarenherstellung"
40,Fleischer/Fleischerinnen
41,Köche/Köchinnen
42,"Berufe in der Getränke-, Genußmittelherstellung"
43,Übrige Ernährungsberufe
44,Hochbauberufe
46,Tiefbauberufe
47,Bauhilfsarbeiter
48,Ausbauberufe
49,"Raumausstatter/Raumausstatterinnen, Polsterer/Polsterinnen"
50,Berufe in der Holz- und Kunststoffverarbeitung
51,"Maler/Malerinnen, Lackierer/Lackiererinnen und verwandte Berufe"
52,"Warenprüfer/Warenprüferinnen, Versandfertigmacher/Versandfertigmacherinnen"
53,Hilfsarbeiter/Hilfsarbeiterinnen ohne nähere Tätigkeitsangabe
54,"Maschinen-, Anlagenführer und -führerinnen, a.n.g."
55,"Maschineneinrichter/Maschineneinrichterinnen, a.n.g."
60,"Ingenieure/Ingenieurinnen, a.n.g."
61,"Chemiker/Chemikerinnen, Physiker/Physikerinnen, Mathematiker/Mathematikerinnen"
62,"Techniker/Technikerinnen, a.n.g."
63,Technische Sonderfachkräfte
64,Technische Zeichner/Zeichnerinnen und verwandte Berufe
65,"Industrie-, Werk-, Ausbildungsmeister und -meisterinnen"
66,Verkaufspersonal
67,"Groß- und Einzelhandelskaufleute, Ein- und Verkaufsfachleute"
68,"Warenkaufleute, a.n.g., Vertreter/Vertreterinnen"
69,"Bank-, Bausparkassen-, Versicherungsfachleute"
70,Andere Dienstleistungskaufleute und zugehörige Berufe
71,Berufe des Landverkehrs
72,Berufe des Wasser- und Luftverkehrs
73,Berufe des Nachrichtenverkehrs
74,"Lagerverwalter/Lagerverwalterinnen, Lager-, Transportarbeiter und -arbeiterinnen"
75,"Berufe in der Unternehmensleitung, -beratung und -prüfung"
76,"Abgeordnete, administrativ entscheidende Berufstätige"
77,"Rechnungskaufleute, Informatiker/Informatikerinnen"
78,"Büroberufe, Kaufmännische Angestellte, a.n.g."
79,"Dienst-, Wachberufe"
80,"Sicherheitsberufe, anderweitig nicht genannt"
81,Berufe im Rechts- und Vollstreckungswesen
82,"Publizistische, Übersetzungs-, Bibliotheks- und verwandte Berufe"
83,Künstlerische und zugeordnete Berufe
84,"Ärzte/Ärztinnen, Apotheker/Apothekerinnen"
85,Übrige Gesundheitsdienstberufe
86,Soziale Berufe
87,Lehrer/Lehrerinnen
88,"Geistes- und naturwissenschaftliche Berufe, a.n.g."
89,Berufe in der Seelsorge
90,Berufe in der Körperpflege
91,Hotel- und Gaststättenberufe
92,Haus- und ernährungswirtschaftliche Berufe
93,Reinigungs- und Entsorgungsberufe
94,"Schüler/Schülerinnen, Studenten/Studentinnen o.Ä."
95,"Rentner, Pensionäre, Hausfrauen, Arbeitssuchende o.Ä."
97,"Mithelfende Familienangehörige außerhalb der Landwirtschaft, a.n.g."
98,"Arbeitskräfte mit (noch) nicht bestimmtem Beruf, z.B. Auszubildende, Praktikanten"
99,"Arbeitskräfte ohne nähere Tätigkeitsangabe, z.B. Selbstständige"
