Name, Vorname;Geburtsjahr;Berufsschlüssel;Beruf/Stand;Geschlecht;Partei;Land;Platz;Wahlkreis
Aae, Per Lennart ;1940;75;Finanzpolitischer Berater;1;NPD;;   ;157
Abed-Ali, Ali ;1993;94;Schüler;1;Die PARTEI;BE;53;
Abend, Klaus-Dieter ;1946;78;Technischer Betriebswirt;1;FDP;;   ;22
Ableiter, Claus ;1963;76;Oberregierungsrat;1;FREIE WÄHLER;RP;14;207
Abramowski, Ulrich Herbert ;1956;88;Diplom-Volkswirt;1;AfD;NI;2;
Abwander, Susanne Brigitte ;1966;85;Heilpraktiker;2;DIE VIOLETTEN;BY;20;
Acharki, Moussa ;1975;67;Einzelhandelskaufmann;1;BIG;NW;2;
Achatz, Markus Franz-Xaver ;1981;75;Niederlassungsleiter;1;FREIE WÄHLER;BY;23;231
Achenbach, Ulrich ;1954;78;Angestellter;1;MLPD;NW;9;
Ackermann, Jens ;1975;87;Medizinpädagoge;1;FDP;ST;2;67
Adam, Dr. Konrad ;1942;82;Journalist;1;AfD;HE;1;176
Adams, Heino ;1942;95;Rentner;1;RENTNER;HH;8;
Adams, Heinrich Martin ;1955;62;Selbständiger Techniker;1;AfD;;   ;297
Adamy, Wilfried ;1963;62;Techniker;1;PIRATEN;;   ;119
Aden, Eckhard ;1967;78;Angestellter;1;NPD;;   ;50
Adler, Annelies Brigitte ;1952;39;Bäckerin;2;NPD;ST;6;
Adler, Günter-Hans ;1940;95;Rentner;1;NPD;;   ;3
Adler, Otto Peter ;1941;95;Rentner;1;NPD;HH;3;19
Adomeit, Michael Harald ;1957;31;Elektro-Meister;1;Anderer KWV;;   ;15
Aggelidis, Michael ;1962;81;Rechtsanwalt;1;DIE LINKE;;   ;90
Ahlgrim, Brigitte Inge ;1952;69;Sparkassenkauffrau;2;Anderer KWV;;   ;12
Ahmed, Tanja Melanie Carolin ;1971;83;Grafikerin, Tänzerin;2;DIE VIOLETTEN;BY;22;
Aicher, Roland ;1965;62;Maschinenbautechniker;1;REP;BY;43;
Akbayir, Hamide ;1959;62;Chemisch-technische Assistentin;2;DIE LINKE;;   ;101
Aken van, Jan Paul ;1961;88;Biologe;1;DIE LINKE;HH;1;19
Akpolat, Mustafa ;1964;82;Journalist;1;PIRATEN;HH;7;
Albanesi, Stefan ;1972;69;Versicherungskaufmann;1;DIE LINKE;;   ;256
Albani, Stephan ;1968;61;Diplom-Physiker;1;CDU;NI;5;27
Albe, Gerald Hermann ;1976;77;Diplom-Informatiker;1;PIRATEN;TH;4;194
Albrecht, Frank ;1967;76;Ministerialrat;1;FDP;;   ;116
